Movie,Runtime,TotalPauseTime,PauseToRuntimeRatio,MeanPauseLength,MedianPauseLength,PauseStDev,NumPausesAboveMean
toy-story3.srt,6156,3098,0.5032488628979858,2.4863563402889244,0.0,7.315235136798718,247
cars.srt,6947,2885,0.4152871743198503,1.9042904290429044,0,8.452412524536884,269
toy-story2.srt,5239,1562,0.29814850162244705,1.3016666666666667,0.0,3.755762507876201,231
inside-out.srt,5260,2355,0.44771863117870725,1.7227505486466717,0,5.3093140663371186,309
nemo.srt,5583,1341,0.24019344438473939,0.7046768260641093,0,2.8415969407415935,337
incredibles2.srt,6439,2321,0.36045969871098,1.1663316582914574,0.0,5.306680395791677,265
up.srt,5320,2749,0.5167293233082707,2.9401069518716576,0,15.098982692921403,164
bugs.srt,5272,1438,0.2727617602427921,1.0803906836964687,0,3.7366703642629844,216
monsters-university.srt,6190,3533,0.5707592891760904,2.584491587417703,1,15.249030673215257,239
cars3.srt,6093,2305,0.3783029706220253,1.3574793875147233,0.0,7.123790100284824,325
cars2.srt,5893,2084,0.35363991175971493,1.2816728167281672,0.0,4.4393342432215075,241
dinosaur.srt,5074,3789,0.7467481277098936,6.682539682539683,1,23.195545186669246,111
incredibles.srt,6197,3139,0.5065354203646926,2.6267782426778243,0,8.635826930917835,198
wall-e.srt,5754,4043,0.702641640597845,5.0855345911949685,1,11.903377991850673,175
toy-story.srt,4624,1875,0.4054930795847751,1.6741071428571428,0.0,4.16677023361648,252
coco.srt,5624,2078,0.36948790896159317,1.189467658843732,0,3.7138703367191774,283
brave.srt,5059,3060,0.604862621071358,3.6515513126491648,1.0,9.95235081367168,176
monsters-inc.srt,5103,2425,0.4752106603958456,2.2146118721461185,0,7.375199697358038,192
dory.srt,5757,2003,0.3479242661108216,1.2701331642358908,0,9.184202230138633,281
ratatouille.srt,6152,2685,0.43644343302990896,1.9598540145985401,0.0,6.983063721706915,272
antz.srt,4593,1222,0.26605704332680163,1.0338409475465313,0.0,3.0903206295864956,176
wallace_and_grommit.srt,5056,2746,0.5431170886075949,3.181923522595597,0,16.193093756008953,141
trolls.srt,5076,2143,0.42218282111899136,1.5551523947750363,0.0,4.810596239412234,293
madagascar_3.srt,4941,2310,0.46751669702489373,1.9411764705882353,0.0,6.0135732618016435,261
kung_fu_panda.srt,5136,2636,0.5132398753894081,2.6952965235173822,0.0,7.973163686065811,188
the_road_to_el_dorado.srt,5350,1816,0.3394392523364486,1.6185383244206775,0.0,4.763518666157367,241
the_boss_baby.srt,5839,3103,0.5314266141462579,1.9776927979604844,0,12.314807207633377,351
shrek_forever_after.srt,5358,2935,0.547779022023143,2.8412391093901257,0,19.043808206901783,178
captain_underpants.srt,5325,1821,0.3419718309859155,0.9811422413793104,0.0,3.150522138597699,675
shrek.srt,5388,1366,0.25352635486265773,1.0088626292466765,0.0,4.338750407505825,150
over_the_hedge.srt,4978,1229,0.24688629971876255,0.9137546468401487,0,3.403647765177809,216
madagascar_escape_2_africa.srt,5094,1863,0.3657243816254417,1.4634721131186175,0,8.925114354272424,225
shark_tale.srt,5376,1424,0.2648809523809524,0.9680489462950373,0,4.27056833991706,393
puss_in_boots.srt,2,-2176,-1088.0,-2.8333333333333335,1.0,172.63591349045555,767
kung_fu_panda_2.srt,4846,2780,0.5736690053652497,3.3055885850178357,1,7.959455572854873,191
the_croods.srt,5384,3375,0.6268573551263001,3.302348336594912,1.0,11.772641068665434,177
bee_movie.srt,5437,1978,0.3638035681441972,1.4651851851851851,0.0,12.593721702441062,216
kung_fu_panda_3.srt,5580,2252,0.403584229390681,1.266591676040495,0.0,4.129286234808582,329
home.srt,5037,2769,0.5497319833234068,2.4310798946444248,0,8.185424686832354,198
the_prince_of_egypt.srt,5675,2576,0.453920704845815,2.4864864864864864,0.0,11.486299791882326,138
monsters_vs_aliens.srt,1194,471,0.3944723618090452,2.378787878787879,0.0,5.609360790013661,48
madagascar.srt,4748,1755,0.36962931760741363,1.4107717041800643,0.0,5.69435336316503,216
rise_of_the_guardians.srt,5290,2824,0.5338374291115312,2.2555910543130993,1.0,5.384957796837118,252
turbo.srt,5510,2807,0.5094373865698729,2.3294605809128632,0,6.092190697892102,240
sinbad.srt,4669,2374,0.5084600556864425,2.0916299559471367,0,6.668417130282154,172
spirit.srt,4567,4175,0.9141668491350996,21.744791666666668,2.0,48.69417839311445,46
shrek_the_third.srt,5116,2219,0.43373729476153244,2.0339138405132906,0,5.280198876215388,194
shrek_2.srt,5105,2548,0.4991185112634672,2.4547206165703277,0.0,8.347986774720894,189
flushed_away.srt,4593,1480,0.3222294796429349,1.083455344070278,0.0,2.3139149215787413,302
penguins_of_madagascar.srt,4947,2074,0.41924398625429554,2.0781563126252505,0.0,5.199905852054045,201
how_to_train_your_dragon_2.srt,5539,2597,0.4688571944394295,2.5866533864541834,0.0,6.5231745138516715,224
chicken_run.srt,5034,2053,0.40782677791021055,2.0653923541247483,0.0,8.927183866115783,142
megamind.srt,5326,2108,0.3957942170484416,1.665086887835703,0.0,4.295599075259403,292
mr_peabody_and_sherman.srt,5114,1672,0.3269456394211967,1.056890012642225,0.0,3.5856626351512313,255
how_to_train_your_dragon.srt,5331,3172,0.5950103170136934,3.6585928489042674,1,11.865535293857885,161
laputa.srt,7264,4845,0.666987885462555,4.792284866468843,1,12.496747292516888,253
poppy-hill.srt,5392,3359,0.622959940652819,4.246523388116309,1,11.396697719538246,159
wind-rises.srt,7363,4823,0.655031916338449,4.93654042988741,1,16.036333793722985,178
ponyo.srt,5967,4056,0.6797385620915033,5.641168289290682,1,19.56018572216447,171
totoro.srt,5006,3607,0.7205353575709149,5.21242774566474,1.0,17.71015117353779,140
kiki.srt,5981,3759,0.6284902190269186,4.041935483870968,1.0,9.909133151976766,193
howl.srt,6863,4457,0.649424449949002,4.044464609800363,1.0,10.354516152576561,213
yamadas.srt,5925,3390,0.5721518987341773,3.250239693192713,1,8.385487385649762,229
cat-returns.srt,4277,2328,0.5443067570727145,2.435146443514644,0.0,7.068178011155351,203
spirited.srt,7231,4538,0.6275757156686489,4.225325884543762,0.0,13.194913841766834,199
earthsea.srt,6543,3887,0.5940699984716491,4.04054054054054,1.0,11.055127160921325,182
marnie.srt,5906,3532,0.5980358956992888,3.351043643263757,1.0,7.314279432734693,199
mononoke.srt,7688,4961,0.6452913631633714,4.693472090823084,1,11.275085036190225,250
porco.srt,5588,1776,0.3178239083750895,2.139759036144578,0.0,7.771758277321709,121
whisper.srt,6415,3530,0.5502727981293842,3.349146110056926,1.0,9.178379682229712,197
fireflies.srt,5120,3568,0.696875,6.173010380622838,1.0,16.019956086132854,121
arietty.srt,5422,4098,0.7558096643305053,7.617100371747212,1.0,19.847703321655864,102
pompoko.srt,6663,2493,0.37415578568212515,1.8915022761760243,0.0,7.1826948042566725,261
only-yesterday.srt,6823,3198,0.4687087791294152,2.475232198142415,1.0,7.328319453930351,246
kaguya.srt,7779,4428,0.5692248360971848,3.60880195599022,1,10.215309534702515,237
